a1389277800,546.805,546.82,546.79,546.8,69598
1,546.25,546.86,544.5,546.8,1130730
2,544.08,546.49,542.33,546.3,917827
3,542.0643,544.07,541.21,544.07,565609
4,539.57,542.04,538.85,542.04,635243
5,539.39,540.28,538.8,539.56,443354
6,539.6,540.3799,538.5,539.241,306628
7,540.44,541.08,539.5615,539.5615,535578
8,539.88,540.8999,539.6,540.43,205338
9,537.21,540.369,537.08,539.9,425981
10,537.46,537.58,535.3501,537.21,711964
11,536.765,537.85,536.2,537.45,412363
12,537.41,538.21,536.71,536.78,334959
13,536.47,538.1,536.08,537.52,1521049
14,536.519,536.519,536.519,536.519,100
48,539.7,539.83,539.03,539.83,97437
49,534.89,540.8,533.9,539.25,1860643
50,533.34,535.1,531.6,535.0999,1270326
51,534.281,534.81,532,533.34,624551
52,532.83,534.469,532.46,534.24,450519
53,532.25,532.74,531.33,532.74,559776
54,531.9755,532.81,531.84,532.269,279995
55,531.39,532.47,531.31,531.89,276277
56,531.82,532.12,531.11,531.34,249771
57,531.78,532.44,531.5,531.83,258243
58,531.8125,532.1,531.62,531.77,220206
59,532.7964,532.94,531.76,531.815,475138
60,532.69,533.72,532.4,532.76,647543
61,532.94,533.12,532.488,532.63,1337642
192,530,530,529.9,529.91,90937
193,539.1,539.1,529.88,530,2124860
194,538.72,540.2,538.45,539,1048395
195,539.6101,539.829,538.28,538.81,612620
196,541.46,541.88,539.3,539.682,740403
197,541.99,542.45,541.45,541.5999,597472
198,540.66,542.5,540.631,541.96,543133
199,540.082,540.89,539.87,540.66,539841
200,538.61,540.08,538.21,540.07,561583
201,538.8,539.13,537.45,538.716,419257
202,537.02,539.64,536.82,538.78,311238
203,536.35,537.21,534.89,537.005,583062
204,532.29,536.36,531.5601,536.26,897657
205,535.73,536.38,531.03,532.29,1753532
240,538.03,538.2787,538.03,538.22,68099
241,539.22,540.9991,537.66,538.04,1710424
242,542.12,542.6,539.2201,539.244,1188078
243,543.47,543.78,541.16,542.1,705710
244,544.36,545.1,543.41,543.6699,812431
245,545.07,545.1,543.37,544.25,522417
246,546.5099,546.5099,544.92,545.1,523888
247,544.2,546.73,543.89,546.48,492435
248,544.524,544.89,543.8043,544.33,416321
249,544.65,544.95,544.29,544.53,245110
250,545.2,545.2,543.05,544.67,425457
251,544.44,545.3342,544.38,545.19,281641
252,544.38,544.92,543.9,544.529,367859
253,546.39,546.54,544.3,544.43,1525982
288,553.49,554,553.34,553.52,140821
289,557.91,558,551.66,553.66,2715264
290,558.43,559.99,556.5,557.99,1525653
291,558,559,556.77,558.44,646137
292,558,559.1896,557.1,557.9201,626392
293,558.2,559,557.84,558,432585
294,559.585,560.19,557.61,558.29,823965
295,559.18,559.87,558.8,559.59,333678
296,558.4,560.05,558.25,559.21,452914
297,557.5,559.01,556.68,558.41,515529
298,558.21,558.59,557.38,557.45,345768
299,558.65,559.139,557.38,558.205,354084
300,557.76,559.25,556.93,558.59,445648
301,557.36,557.94,555.77,557.78,1577674
336,554.95,555.25,554.9,554.9,72792
337,554.08,556.85,551.68,555.05,1617041
338,555.66,555.8,552.81,554.148,740932
339,553.96,555.76,553.29,555.66,477572
340,555.72,556.495,553.71,553.97,506940
341,555.53,556.06,554.61,555.75,277507
342,554.6,555.63,553.95,555.54,254986
343,555.3,555.54,554.39,554.55,163125
344,555.9958,556.08,554.81,555.34,229833
345,554.83,556.23,554.78,556.05,244379
346,555.05,555.4196,554.5,554.82,180345
347,555.85,555.95,554.881,555.07,260340
348,554.489,555.942,554.27,555.85,258962
349,554.25,554.9,553.8,554.51,940450
384,551.5,551.5,551.24,551.48,1410229
385,549.5535,552.07,547.6,551.56,1952502
386,548.95,550.225,548.72,549.61,692900
387,549.155,549.5,548.21,549,510564
388,549.03,549.44,548.53,549.125,353410
389,548.43,549.21,548.36,549.05,312591
390,548.52,548.68,548.2285,548.42,286458
391,548.28,548.89,548.21,548.5,242399
392,546.01,548.375,545.65,548.284,776319
393,544.98,546.11,542.91,546.01,1046575
394,544.91,545.4299,544.31,545.03,694866
395,543.9,544.9,543.09,544.9,727912
396,541.7,543.95,541.11,543.9,1078068
397,540.67,541.7,539.9,541.68,2404144
576,540.98,541,540.83,540.99,113004
577,546.8,548.03,540.42,540.85,2059678
578,545.23,547.7,543.6,546.801,963999
579,545.85,545.99,543.28,545.19,631741
580,543.82,545.825,541.79,545.6001,653747
581,546.48,546.99,543.56,543.77,492732
582,546.95,547.24,545.2292,546.435,622368
583,549.1873,549.49,546.86,547.001,721661
584,549.88,549.94,548.43,549.19,512599
585,549.41,550.07,548.75,549.94,487530
586,549.02,549.95,548.75,549.44,274210
587,549.588,550.05,548.9,548.98,372613
588,548.78,550,548.35,549.481,397016
589,549.07,549.38,548.01,548.799,1208880
624,550.89,550.9147,550.85,550.9147,57092
625,549.83,552.6,547.81,550.89,1389043
626,552.77,553.3,549.92,549.98,974320
627,556.37,556.43,552.35,552.865,1999259
628,555.72,557.29,555.33,556.37,942726
629,555.74,556.41,554.53,555.72,625089
630,555.445,557.02,555.09,555.7955,642549
631,555.23,556.16,554.85,555.57,460028
632,552.72,555.3,551.6805,555.23,884617
633,551.6,552.945,550.62,552.78,797684
634,552.7301,553.2,551.17,551.6,418738
635,551.38,553.11,551.05,552.73,369588
636,551.33,552.39,551.21,551.49,301646
637,551.51,552.39,550.85,551.335,1115055
672,549.85,550,549.6601,549.94,100175
673,550.82,551.83,548.11,549.73,1285266
674,546.42,551.83,546.35,550.8755,859267
675,545.67,547.01,545.34,546.42,624494
